0: 본 방송과 방송에 사용된 미리듣기 음악은 벅스에서
12:  어시스턴트
579:  예 우리 식구들 다 좋아할 것 같아요 고딩교복을 써서 치마는 아주 짧게 약은 타이트하게 베이비 군화 야한놈 붙이다 완벽한 거 같아요 이건 아니지 죽여요이 저랑 눈썹이랑 베란다 뚫었는데 얼굴에는 더 이상 못 뚫고 몸에 구멍 뚫을 구슬 물색하던 중에 왼쪽 손에다가 구멍을 몇 개 뚫으려고 하거든 특히 전화 특이하다라는 면에서는 전 그렇게 특이하고 싶으시다면은 길거리 다니실 때 얼굴이 너무 빨강 파랑 뺏기다니 치라고 다니셔도 있는데 뭘 또 손가락 시기나 그렇게 괴롭히고 그러십니까 왼쪽 손에 다 가요 누르시고요 그
638:  손에다가 누른 내라는 혀랑 눈썹이랑 이런 데를 다 이렇게 체인으로 연결하시는 거예요 그 손으로 이렇게 잡아당기면 밖으로 빠져나오게 지금 막 흔들고 단심 괜찮을 것 같아 주로 원하는게 어떤 매칭 관계가 아니라 특이함이 라면 특이함이 라면 특이함을 추가할수있는 이름을 목장에서 굉장히 많이 있지 않습니까 그 정도 균형도 맞추면서 조화를 이루는 상태에서 특이함을 주고 하려니까 한계가 있는데 그 완전히 무시해 버리겠다면 좋아를 그렇다는 거 특이함을 추구할 수 있는 그 한 개는 거인국 아니시겠죠 뭐 셋째 머리 염색 안 해 본지 꽤 된 거 같은데 탈색은 못 하겠고 머릿결이 완전 계절이라 짙은 파란색으로 하려는데 넌 물인가 아니고 손가락 떴는데 뭐 모르겠어요 파란 머리가 사 주방
698:  요리사 복을 수선해서 상체 탈퇴하고 소매는 아주 아주 길게 그리고 하이는 긴 치마 머리는 길게 귀신처럼 늘어뜨리고 뭐 이정도야 아 뭘 직업이 뭐냐고 학원 선생님이야
720:  네 번째 아이디어 주방장 요리사 보게 수선해서 소매는 아주 길게 해서 머리는 길게 늘어뜨리고 다닌다 하는 거는 길 다니다가 이복자 보고서 잠든 심장마비 일으키는 분들이 계시면 고소 들어옵니다 좀 좋지 않을 거야 구영 추진 하시지 그래요 고딩 구글 서치 많은 아주 짧게 고치고 상인은 1리터게 있고 신발은 9마나 야할롱 붙이는 다음에 왼쪽 손에다가 구멍 몇 개 뚫어서 혀랑 눈썹이랑 배랑 뚜루 체인으로 다 연결해서 머리는 파란색으로 탈색을 해서 스킬이나 그리고 코팅 대신에 이제 맨 것 옷을 주방장 요리사 수전에서 속내를 아주 길게 늘어뜨린 다음에 길거리를 다닌 쉬면 되겠네요 인생 졸려 씨가 충고를 달았습니다 이번 가을 섹시룩 밀고 나가
780:  표범무늬 마이크로스커트 에다가 마이크로 스커트는 미니 보다 더 위에 올라가 있는 것 같아서요
788:  앞가슴 쪽이 더 있는데 가족 끈으로 x0 교차되고 허리에 다트가 심하게 들어가서 적당히 허리에 빗대며 손에 닿는 검은장미 레이스가 두겹으로 달리는 검은색 상의 조금 반짝인다 이쁘겠죠 가을이라 조금 쌀쌀하니 짙은 와인색이 나 검은색 레저 재킷을 신발을 여성용으로 나온 검은 화를 머리는 검은색으로 염색해서 앞머리는 뱅스타일로 무난하면서 섹시한 조금 큐트한 그런 스타일이 될지도 무게는 초코로 하는게 이쁘겠어요 벨벳 근처 코드예쁘게 꼭 학원생들 할 거예요
831:  무슨 학원 인지가 궁금해요 일본 귀걸이에서 놀래는 것은 그거 있잖아요 왜 그 요람에 쌓여있는 어린 아기들 옷 이렇게 머리 모자까지 세트로 되어 있고 턱밑에 침흘리는 텃밭입니다 달려 있는 그 아기용 옷 있잖아요 그거를 한 스무 살 난 여자들이 그냥 이쁜 귀걸이 다니더라고요 나 저 도움이 언니들은 지금 뭘 선전 하는 거냐 그랬더니 나레이터 모델 하는 거 그게 민간인 이라네요
876:  여기는 민간인이 이런 옷을 입고 다녀야라고 얘기했더니 크게 뭐 어쨌든 뜻이냐 뭐라고 사이면 어쨌든 것은 아니다 그래 됐다 그쪽은 안 돼 이제 저쪽으로 좀 많이 오실 하든가 아니면 그 프렌치메이드 보기 있잖아요 이렇게 한 여보 긴 머리에다가 예쁜 레이스 같은 것도 쓰고 까만색 예쁜 레이스 달린 앞치마 같은 것들이 달려있고 손목에는 레이스로 이렇게 소매 귀여운 거 이런게 달려 있는 스타일 그런 거 막 이래서 입고 다녀 그러더라고요 제가 아무리 그거를 10번이 성을 가지고 있고 영숙이 때문에 제가 그거를 사는게 다섯 버린 없지만 길에서 입고 다닌 않는다고 우리는 길에서 그냥 대놓고 입고 다니세요
934:  배선 아주 감동받았어요 야 세계적인 그 대도시라 그래도 이런 이런 차이가 있구나 런던에 있을 때는 귀 뚫고 뚫고 눈썹 뚫고 턱들고 젖꼭지 뚫고 배꼽 뚫고 그다음에 등이랑 계란 어깨랑 팔뚝이랑 뭐 이런 데다가 답문 신한 그리고 머리 양쪽 모히칸 스타일로 가끔 이런 애들이 막 웃으면서 동네 할머니랑 막 농담하고 막 잔디 아르바이트하고 웃긴 남자 생각했더니 일본에서는 프렌치메이드 그렇게 지워지고 드링크 지나가는데 부러운 거 있죠 인생 살면서 자기가 자기 스스로를 피어나고 자기만족 이라고는 하지만 더 남들한테 비춰지는 거 누가 나서 좋아하잖아요 그리고 남들이 자기 보는
994:  신경 쓰는데 남들한테 그렇게 크게 눈에 띄지 않는 회색과 곤색 옷에 일생 몸을 묻어야 하는이 남자 샐러리맨들의 사람이라든가 아니면 남들이 무슨 무슨 옷을 무슨 표를 하나 갖고 있는데 그거 못 갖고 있으면 또 안 되는 이런 세 개 그렇게 브랜드의 뭐 의학을 지르면서 돈 가지고 승부를 보는 방법 있겠는데 뭐 이렇게 일찍 가는 쪽으로 아주 사양함 없이 그래 난 너희들이 쳐다 보는 걸 좋아해 나는 옷을 입고 다니는이 귀여운 친구들도 참 재밌는 거 같아요 일본에서도 그 펑크 보기는 봤어요 그 머리 양쪽 완전히 가운데머리 쫙 풀려서 빨간색으로 염색하고 그리고 뭐 왼쪽이 머리에다가 frou 오른쪽 머리에는 씨하고 k
1054:  써 가지고 다니는 애들 많은데 이런 사람들 특징 중의 하나가 나도 재밌게 본 건데 그 젊은 애들 모여서 지나치게 폭음을 하거나 뭐 이렇게 둘이만 그렇지 않은 모습을 참 보기 힘든 분한테도 그런 적이 있긴 있어요 애들 막 모여서 무지하게 술 마시는데 고양이 검은 다리가 하나 개천 위에 있는데 마시고서 좀 깔라 그래 가지고 오바이트 하려고 다이 위 왼쪽 나서 그 개울물에 흘리는데 줄서 있더라고 줄 서가지고 앞에 너 빨리 끝나기를 기다리면서 기다리는 한편으로 감동적인 감동적이며 한편으로는 도저히 이해가 안 가는 와 일본 펑크도 저렇게 굉장한 모습을 하고 있다
1105:  늘 껌을 쫙 찍으면서 강렬하게 어깻짓을 하며 저쪽으로 걸어 오더라고요 걔랑 저랑 이렇게 쓱 어깨를 마주칠 지점으로 진하게 생겼는데 에밀리 순 없잖아요 속으로 졸면서 아처 체인 전 한 방 맞으면 뉴스 가고 있는데 9시 병원에서 사람들 진짜 짧으니까 주위 사람들이 이모섹 동해 가려고 나갈 때처럼 지키는 거예요 굉장하다 재팬 펑크 너 그랬는데 갑자기 하면서 그렇게 늦지 않게 싶더니 생각하지만요 그러게 왜 호주머니에서 크리넥스를 딱 꺼냈나 가로로 한번 새로 한번 딱 쳤더니 까불거리다 톡 할게 지금 꽃게 사서 도도도도도도 저희 뛰어서 쓰레기통에 쏙 벌이더니 다시 원위치 해 그래서 또 하고 8 주면서 지나가더라구요
1165:  말로 토착화된 펑크가 아니겠는가 나는 그런 이야기를 하였다 뭐 이런 이야기죠 문화회관 결론은 그래서 길에서 무슨 교복을 입고 다니던 잠옷을 입고 다니던 뭐 입고 다니던 다 자기 표현인데 우리 같은 년이지 지나가는 남의 집 처제도 무조건 옷걸이 그게 뭐냐 뭐 이런 얘기도 하고 뭐 이런 보다 보니까 응 그렇게 이야기하면 간섭 안 사람들도 좀 문제가 있는 거 같으면 우리 본인들도 아직 이래서 자기가 생각하는 것도 표현하거나 이모 이런 단계 이루어진 하는 것은 오히려 그 회색과 검색을 이쁜 우리 사이에 섞여 있음을 더 마음 편해 하고 그 우리의 섞여서 이제 닭벼슬머리 애들이 지나갈 때 무죄를 모를까라고 생각하는 저희도 안도감을 왔나 그럼 풍토인 거 같은데 오늘도 저는 방송인이 끝나고 나면 눈을감고 꿈에 참기를 겁니다 제가 꿈꾸는 정말 좋은 우리나라
1224:  자랑스런 나의 조국 꿈꾸는 건 자기 자유니까 그렇잖아요 길에 다니는 모든 언니들이
1236:  마이크로스커트 교복치마 와 꼭 끼는 교복 상의와 빌려서 씨한테로 부츠를 신고 이렇게 우루루 지나가는 우리나라 좋은 나라 언제쯤 다가올 것인가
1356:  이번 글은 마왕의 많이 찍어 보냅니다 어렸을 때 공부를 못 했어야 했어 방가 마왕 오늘 중간고사 끝나고 집에 와서 내리 5시간 쭉 스트레이트로 잤어 일어나니까 허리가 수시 돼
1416:  그래도 먹어 본 생활로 들어오니까 행복하더라 시험 때문에 낮에도 못 자고 밤에도 못 자는 배경 화면 원래 앉았지만 이런 불우한 생활을 보내서 지금 건강상태가 말이 아니야 근데이 놈의 학교는 내일 최적점을 또 안 되네 아주 애들을 죽여주게 말려 죽여요 하는 수 없지 뭐 내일 운동장에서 참을수밖에 시험 잘 봤냐고 고딩 데서 시험 보고 온 건 처음이야 그것도 속상해서 너무 속상해서 챗 나도 초등학교 시절에는 전교에서 날렸고 중학교 시절에는 꼬박꼬박 30분 안에 흔들었는데 내가 있는 곳이 경기도 것도 6차 과정에 꼬다리 라비 평준화고등학교 들어갔어 그년하고 사람들보고 맛있지 그 중 3때 미친듯이 공부했지 지금 생각해도 그때 내가 신기해 지금은 그때보다 더 훨씬 안에 머리가 좀 컸다고 세상을 더욱 알게 되지
1468:  놀기 많더라 뭐 좋긴 하지만 고딩 2학년 현재 성적은 계속 추락하는 중이지 우리 집안은 교사 집 아니야 토나와 교사 10명 대원터널 것까지 큰아버지 들어가 우리 아빠도 교수하고 친척 언니 오빠들 중에서도 교사가 많아 교사들이 늘 그렇듯이 집안이 전체적으로 보수적이야 상당히 나는게 너무 싫어 아줌마 집안 분위기가 그러니 정말 우리 집에선 행복은 성적순이라는 말이 통해 사실 초딩때는 조금만 열심히 해도 잘 하잖아 나 어렸을 때도 엄마한테 잡혀서 공부 시작했다고 그때 말이지 그냥 놀면서 놀면서 공부를 못 했어 했어 초딩때는 막 신동 소리 들으면서 시험안보면 이웃집 아줌마들이 칭찬을 받으면 왜 그리 뿌듯해 했는지 그걸 공방 갈지도 몰라 남에게 보이려고 지금 생각하니까 또 토 나와 여기 봉투 봉투 어릴 때부터 기대를 너무 키워드는 거지 얘는 꼭 성공할 거야 막 그러면서
1528:  중딩 때는 초딩때 성적이나 못 미치지만 그리고 참여해서 속이 말한 명문고에 왔는데 정말 후회하고 있어 솔직히 내가 나를 봐도 나라는 요즘 공부하고 기다려 어울리지 않아 공부가 즐겁거나 재미나서 한 번도 없어 억지로 한다는 느낌이 대부분 야 이러니 공부에 미친 녀석들과 게임이 되겠어 점점 떨어지는 성적에 제일 속상한 사람 물론 나야 정말 공부 조금 나랑 안 맞는 거 같아 뭐 열심히 할 때 성적이 잘 나오긴 하는데 이젠 정말 머리 한계를 느껴 우리 학교 같은 데서 모두들 열심히 하니까 성적은 머리 중이거든 정말 그래 다시 한번 껴 저리게 느끼는 건데 정말 정말 어렸을 때는 공부를 못 했어 했어 왜 어렸을 때 그 한참 뛰어놀 나 이제 공부를 했는지 나 너무 후회돼 중딩때 공부 한 것도 후에 돼 떨어진 것도 말이지 남들이 보면 잘했네 수준인데 우리 집에서는 초상집 분위기다 거기다 또 내 동생이 좀 잘해야지 첫째라는 부담과 옛날에 날을 기억하고 계시는 부모님들이나
1588:  명지대 부담이 내가 살아가는데 있어서 자신감을 점점 이렇게 내가 과연 잘 할 수 있을까라는 막막함 또 자꾸만 알게 되는 사회현실에 나를 자꾸 극한 우울모드 빠지게 주위 사람들한테 미안해
1603:  나 힘 좀 주라 힘 나 시험 내 마음이 이스라엘을 들으면서 공부를거든 흐르면 그나마 마음이 안정되고 공부도 잘 되더라 여러가지 고마웠지만 많은 의도한게 아니었겠지만 나한텐 그래 다시 한번 힘내라고 해 주라 그럼 나 열심히 살아 갈 수 있을 것 같아
1624:  지금은 뭐라고 내가 지금 떨어져 있는 성적을 다시 올리려고 힘이 필요해요
1635:  아니면 뭔가 밀리는 기분에서 답답한데 이거 뭐 어쨌든 지금 밀리면서 계속 하기는 해야 되고 뭐이 상황에 괴로움을 좀 덜기 위한 힘 글쎄 이유도 나는 그 스포츠를 보면 참 감동하게 되는 것이이 상대방의 힘을 이용하는 뭐 그런 부분이라 그러면 훨씬 조금 아는 사람이 큰 사람을 집어던지면서 그 기술에서 그 힘의 방향 그다음에 인체에 뼈다 이렇게 얽혀 있는 운동 방향 그리고 등근육을 제압하고 이쪽으로 옮길 수 있고 이쪽으로 못 움직이게 하는 그 방향 방향을 하는 거 아니었어요 씨름도 마찬가지인 거 같고요 그래도 보니까 이만기 선수가 tvcf 중요한 건 6시 기술이죠 아까 얘기를 했을 때 할 말이 없었다는 그런 얘긴 덴 고등학생 정도 돼
1695:  이제는 뭐 그냥 무조건 힘을 내자라는 말로는 안 되는구나 나는 너를 깨달은 나이가 아닐까 싶은데 더군다나 마왕 마녀처럼 산전수전 갖고 지금 이런저런 과정을 통해서 아 이런 거구나라는 생각을 하는지 점이 미쳤다면 뭔지도 모르고 막 밀린 것도 아니고 벌써 문제를 다 깨달았으면 여기서 이제 결론 새롭게 좀 내 보는게 어떨까 하는 그런 생각을 힘내는 거 좋은데 자 이번에는 힘은 무조건적으로 나 아니면 부모님을 위해서내는 힘도 아니요 주위에 눈총이 나 뭐 학교 선생님을 위해서내는 그 힘도 아니요 그리고 또 팬시 밀리는 기분이 드는이 현실에서 그냥 막무가내로 가자 파이팅 한번 외쳐 보고 싶으니까 2에서 나오는 심도 아니요 그렇다면 이제는 방향이 있는 힘이 좀 나오셔야 되지 않을까 그런 생각을 해요
1755:  죽이기 들어보니까 인생목표 다니기 하나도 없네요 전부 지난날 과거 어릴 때부터 살아온 거 그리고 어릴 때는 이유는 모르지만 하여간 성적을 올리니까 되고 싶고 봤던 거 지금은 이유는 모르지만 하여간 성적이 내려가니까 굉장히 힘든 건데 그 이유가 중요한 시기가 아닐까 하는 그런 생각을 해봅니다 뭐 남의 일에 대해서 제가 왈가왈부 금방 떨기는 준모 하지만 이제는 그 공부하는 것이 전교등수는 아니더라도 만일 내가 하고 싶은게 뭐 이렇게 이렇게 신학교를 하고 싶은 거 다 그러면은 신학교를 딱 부성적 최선 성적 확보하고 그 이후에는 그거랑 관계되는 학습을 미리 미리 해 놓는 것도 좋을 것이고 가령 뭐 예를 들어 신학교를 가겠다면 라틴어 공부도 혹시 인사말 좀 해 놓으면 좋을 것이고 내성적이 충분하다면 왜 이런 식으로 좀 자발적으로
1815:  학습요령 좀 세우시고 학습목표 세우시고 그럼 좋지 않을까라는 생각을 한다 바로 그런 목적이 뚜렷이 쓰지 않았기 때문에 학교 들어 갔지만 나오지는 못한 오빠 거짓말 그 얘기를 하고 있지 않습니까
1834:  목적없이 학교를 들어가는데까지는 가능하십니다 내 목적없이 학교를 나오는 거까지 죽어도 못 하겠더라고요 샴푸요정 쐬러 가는 길인데요 어제 뭐 TV 프로그램에서 봤는데 말이야 요즘 초등학생 그게 초등학생들이 아니더라고 하루 종일 학원에서 살아 영어는 1억 교과서를 배우고 수학은 3인치는 앞서 배운다 녹음한 이른바 선행학습이란 아 애들 불쌍 하더라고 알아듣지도 못하는 거 배우러 그렇게 다녀 내 생각에 그걸 소화해낼 수 있는 우리나라 초딩은 500명 중에 한 명 나올까 말까 한 거 같아 내 동생 중에도 그러네 하나 있거든 걔도 뭐 대한민국에서 제일 좋다는 9단까지 그런 비정상적인 애나벨 거 같아 천천히 것도 많이 작용하는 갖고 일부 극성인 부모들이 지극히 평범한 자기 자식들을 그 500명 중에 하나로 만들려고 너 아무것도 안 빼는 거 아닌지 애들은 불쌍하고 부모들은 한심하고 안타깝더라고요
1894:  좀만 지나고 나면 그 둘 둘 다 인정하겠지만 그거 보니까 마음 생각 나서 그냥 또 끄적 해봐 마음은 애 낳으면 학교도 1년 늦게 들여보낼 거라며 한국에서 학교 다니냐고 8학군 미쳤냐 에베레 에베레스트가 많이 봐 그리고 주위 사람들 중에서 팔콘 출신이라는 경기 해요 다시생각해도 그래도 너무 불쌍해 부모의 관리 철저히 생겨버리는 그 애들이 힘든 눈 과연 걔네가이 나라를 이끌어 나갈 때 쯤에는 지금보다 뭔가 달라져 있을까 브리드카가 씨가 보냈어요 막 나 어제 뉴스 추적 보고 충격 먹었어 내용 뭐 선행학습에 문제점 이런 거 있는데 진짜 몰랐어 다 강남 얘기한 거는 같은데 그래도 초등 1학년 짜리가 방학 때 그것도 생애 첫 방학을 영어 학원 때문에 뺏기고 있었어 또 나랑 같은 학년 이중삼 애들 얘기 들어보니까
1954:  응삼이 대진고등학교 수학을 닦은 애들이 있잖아 나 참 그리고 거기 나오는 모든 놈들이 학원은 학교 다닐 되시고 가내 한다는것처럼 생각하고 있더라고 하다는 선행학습 안 하냐고 물론 하지 나는 다음 시험 범위까지만 해 놓으라고 99 중에 가끔 좀 웃기는짜장 둘이 있어요 지금 해 놔야지 학교 다닐 때 엄마 눈치안보고 더 놀 수 있거든 아 그러니 아무튼 다시 원래대로 들어가서 하노이 말하기를 방학 때가 학교 다닐 때보다 더 힘들대 또 어떤 놈들은 학원에서 10시간 보내는 놈들도 있더라 이거 공부하는 기계도 아니고 다들 너무 불쌍하고 한편으로는 내가 참 자랑스럽다 생각이 들어 뭐냐고 나도 초등 6학년 때부터 학원은 다녔거든 메일 학원을 다니면서 선행학습인정 뭔가를 했어 너 중인데 이건 아니다 싶더라 생활의 여유가 없고 너무 빠듯하고 몸도 피곤하고 4권을 끊고 지금까지 띵가띵가 놀고 있지 이렇게 놀고 있으니까 엄마한테는 잔소리는 뭐 하니
2014:  그러는데 너 정신적인 그 무언가를 얻을 수가 있었어 그리고 쓰는 사람들 중에서도 선행학습 하고 뭐 방학 때도 학원에서 10시간 넘게 보내 드릴 수도 있겠는데 그놈들한테 한마디 한마디 넘겠다 아무튼 해주고 싶은 말이 있다 야이 한심한 놈들아 너희들 공부하는 기계냐 학생땐 놀아라이 한심한 놈들아 학생은 놀아야 돼 마지막에 에코노 드릴까 학생은 놀아야 돼 놀아야 돼 놀아 1등으로 가이드 지금 곳에서 출장 주장하는 이런 중에서 이런게 있지 않습니까 우리 부모들의 숫자가 100명 100분 정도에 계시다면 그 100분을 이렇게 평균적으로 놓고 봤을 땐 10등 안에 들어가는 사람은 10% 이상이 있을 수가 없다 그러면 훨씬 적을 것인데 공부하는 방법에 대해서는 현재 현역에서 공부하고 있는 자식들을 제끼고
2074:  본인들이 막 공부 할 방법을 강구해 내고 왜 엄마가 아줌마들이 듣는 그 소문이 예서 애들만 가르치고 막 북치고 장구치고 다 하시는데 부모 중에서 공부 잘 학생들 못 하셨던 문을 자식한테 공부하란 얘기를 못하느냐라고 말씀하셨습니다 있겠지만 뭔가 예단 분위기가 좀 이상하다라는 그런 생각이 들어요 그리고 어렸을 때 경쟁이라는 그
2106:  모든 앞에 헤어질 이름 경쟁이고 그 경쟁을 통해서 무엇을 추구해야 그냥 목표를 한번도들은 바가 없다 보니까 어릴 때 본 만화 중에서 체스판으로 태어난 나이트 말 저쪽에 루폰 이렇게 태어난 체스보드 몰라 지금 깨어나 보니까 내가 여기 있었고 눈앞에 있는 쪽지에는 싸움을 하는 말 밖에 없었다는 어쨌든 저쪽에서 적들이 또 정신이 오니까 적도 영문 로고 있는 건데 막 싸우고 있는 그런 말 하고 있었어요 제가 초등학생 저학년 때 본 만화 였으니까 그 당시 국내 작가의 작품 철학적인 작품이었죠
2159:  근데 경쟁이 외에 다른 목적없는 경쟁이 재학생 때까지 계속 되고 뭐 그런 다음에 사회진출의 제과점 가끔 일어나서는 그 무의식중에 바뀐 경쟁심도 없어질 것 좀 평생 안 없어진다고 그냥 파킹됨 그러다 보면 자기들은 이제는 아이들은 먹어가고 경쟁이다 하는 그거 하나 머리 속에 남아 있는데 자기 성북로 목적지 이게 벌써 한 달은 뒤졌어 이제는 그런 거 먹고 그럼 이제 또 그거는 40대에 내려가서 자 너도 같이 이렇게 싸움이 끼어들기 되는데 싸움이 끼어드는 계곡 나쁜 거는 알겠는데 전투 방법이 잘못된 방법 아니 나는 그런 의구심을 가질 때가 있어요 일단 제가 생각할 때는 인간의 끈기력이라는 것이 초등학교 6년 중학교 3년 고등학교 3년
2219:  12 년 동안 그 집중력이 유지될 거라고는 도저히 생각할 수가 없고 그래도 올바른 장군이라면 지휘자 라면 병사가 부모와 자식이 물론 지금도 병세 관계는 아니면 시대 자기 병사들이 아 그거 있지 않습니까 나폴레옹이
2239:  이사님 가격 그래가지고 서울 올라가는데가 보고서 나쁜 맨꼭대기 위해서 이산이 아닌가벼 다시 누구 내려갔다가 다음 산에 올라 가지고 아까 그 산이 만난다며 가고 있으니까 뒤에서 경산에서 씨발새끼 나폴레온 아닌가벼 그런 얘기가 눈보라속에서 일주일 동안 행군을 해서 적을 공격할 수 있는 영상이야 아니면 충분히 먹여서 쉬게하고 기습을 피해야 되는 이런 타입의 병사 이런 걸 파악을 해야 될 거 아닙니까 그대로 그렇게 자신들이 잡아 놓은 대로 공부하는 방법에 대해서 자신있게 자녀들에게 강요하고 막 이야기할 수 있는 상태라면 12년동안 집중력이 유지될 수 있는 타입의 아이인지 아닌지 또 그 12년의 경쟁을 모든 것이 끝나는지 대학 들어가고 나면 어떻게 되는지 이런 장기적인
