0: 망 행복이 뭘까 난 그냥 즐거운 거라고 생각하는데 이런 내가 생각이 짧았어 철이 덜들은 걸까 3시간동안 클로버가 늦어서 네잎클로버를 찾았을 때 즐거움 친구들과 조절 거릴 때 즐거움 내가 좋아하는 나의 취미 생활을 할 때 즐거움 난 그 모든게 행복이라고 생각했는데 아닌 걸까 학원이 끝나고 엄마랑 오다가 주유소에 들렸어 거기 알바생으로 보이는 한 남학생이 있었는데 뭐랄까 현지에 즐거워 보이더라고
33: 쪽팔리지도 않는지 주유하면서 주유소에 울려퍼지던 지오디 노래 큰소리로 따라 부르고 왜 부분이 나올 때 막 춤추고 옆에서 같이 주연 다른 알바생한테 가슴에 안기고 근데 그걸 보는 우리 엄마가 한 마디 하더라 지혜는 저런일을 남지철교 즐겁게 아주 신났네 신났어 이렇게 말을 할 수도 있긴 한데 근데 수가 약간 깔보는듯한 느낌이 들어서 우리 엄마 말인데도 기분이 나쁘다고 그러면서 재능 죽을 때까지 전이라고 싶을까 요즘은 돈 없어도 공부 못하는게 말이 안 되는데 자꾸만 이런 거야 마치 공부도 안 하는 알바생 주제 저런 즐거움이 가장 친한 것이냐 저런 즐거운 따위는 금방 사라질 것이다라는 뜻이 뭘 할까 우리 엄마는 본듯한 직장을 가지고 있고 연봉 취소 6천이상 이게 행복에 살 때 같아 내가 가끔 직장 거 돈이 행복의 기준은 아니지 않냐 고등 그러면 엄마 이렇게 대답해
90: 그게 전부는 아닐지라도 큰 비중을 차지한다고 넌 어려서 아직 처리 안 들어서 모르겠지만 사실이라고 하지만 난 대단한 교수님하고 있는 우리 엄마보다 그 알바생이 훨씬 더 행복해 있던데 울 엄마 매일 바쁘게 지내고 집에 왔으면 피곤하다고 짜증나고 취미가 뭐냐고 물어 취미도 없고 누가 더 행복할까 그 알바생이라고 생각하는 내가 정말 생각이 짧고 유아적인 걸까 좋은 글
122: 에어호른 미친 것 같아요 두 분 중에 한 분은 최소한 연봉 6천 이상 번듯한 직장 이거 말고는 취미도 별로 없고 그게 행복의 잣대라고 생각하는 어머님께서 죄송스럽습니다 많은 힘든가 아니면 이런 생각을 하면서 모르겠어라는 얘기를 할 줄 아는 우리 그린 세월이 양이 에어 옳은 일인가 둘 중에 한분은 틀림없이 어떤 의미에서든 에어러닝 거 같은데요
161: 성경에 보면 어린아이와 같은 마음을 가지고 있어요 천국에 들어갈 수 있다라고 얘기를 하셨습니까 저는 그거를 제 나름대로는 그렇게 생각합니다 어린아이 때 우리가 실제로 행복해하던 일들은 부착 단순 했었습니다
179:  무척 당신 했었고
408:  우리 엄마는 저런 사람이 야 우리 아빠는 저런 사람이 바뀌지 않을까 동생 전화 다 그냥 살짝 내가 설정을 맞지 무슨 소용이 있겠어요 생각을 하는데 저는 솔직히 된다는 쪽이라고 걸었습니다
423:  왜냐면
424:  절대로 설득이 될 수 없는 지구상의 마지막 인간 50억 인구 중에서 그러한 생각이 소프트 하지 않으며 짜증과 피곤과 이게 새겨져 있는 50억 인간의 정점
442:  우리 아빠 제가 선택했거든요 했다기보다는 우리 엄마 한방 긴 건데 여보 나중에 배터리가 돈 벌어서 우리한테 효도한다고 저도 그때 되면 우린 못 움직여 지금 동래온천이라도 여행이라도 다니는 지금 다녀야 되고 지금 마지막이야 우리 영감님 우리 엄마 아니 평생 일 하다가
475:  이 제일 높은 됐는데 그 뭐 돈이 있건 없건 그거 고민하면서도 나오냐고 계란이 없어 엄마 구글 지르고 내가 아버지 그러지 마시고 그 상처를 한번 하고 돈 드는 뭐 여행을 간다 물 어쩐다 이게 문제가 아니고 부부가 저녁때해질 무렵에 손잡고 동네 산책이라도 아니고 이게 인생 얼마나 큰 거냐 2분이 손잡고 성당 갔다가 왔다가 이렇게 걸어다니는 날 하고 짜증 나 가지고 앉아 가지고 있는 거라고 이거는
511:  사실 똑같은 한 사람의 일생 안에서 벌어지는 별 차이 없는 일상 같지만 엄청 어마 무지한 차이란 말이죠 오늘 행복할 수 없다면 내일도 행복할 수 없는거다
531:  행복할 수 있는 것도 재능에 종류의 들어간다 행복할 수 있는 재능을 가지고 태어나지 않은 자가 무슨 재벌기업 총수가 되던 뭐 대통령이 되는 거거든 절 대로 행복할 수 없다라고 전 그렇게 봐요 저는 중간인 거 같아 어떠한 상황에 처해 이건 웃음을 끌어낼 수 있고 주변 사람들 하고 행복한 분위기를 만들 수 있고 포용할 수 있고 이런 우리 엄마 죽게 비 와
569:  아무리 일이 잘 나가고 잘데도 불만과 승질이 바쳐 있는 우리 아버지와이 둘 사이에서 피가 적절하게 믹스 가세요 아니 그게 적절한 믹스지도 모르겠는데 그렇게 믿고 살아야 행복하잖아요 저도 그래서 짜증 내고 막 이렇게 일 밀어붙일 때 하고 행복할 때 하고 이런 것들이 마구 뒤엉켜있는 종잡을 수 없는 인간 형한테 전화합니다 대체적으로 행복해요
614:  장경숙 저녁 마사지 대답하는 무섭지 힘들고
695:  9시서 있는 나를 안아 주고 싶어 말을 하지 마 아직도 너의 길을
734:  이제 나의 친구들 사랑해
794:  너도 좋은 친구야
853:  우리 집에 전화해 줘
940:  잘 자라
